Order ID,Date,Status,Fulfilment,Sales Channel,Category,Size,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code
171-1831298-0966719,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,S,Shipped,1,INR,571,GHAZIABAD,UTTAR PRADESH,201010
407-0931879-6986761,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XXL,Shipped,1,INR,968,PUNE-412207,MAHARASHTRA,412207
403-2185404-2336307,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,L,Shipped,1,INR,459,Delhi,DELHI,110085
408-5005250-7909929,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,M,Shipped,1,INR,0,RANCHI,JHARKHAND,834010
407-8849601-4616348,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XS,Shipped,1,INR,399,NEW DELHI,DELHI,110017
403-3317362-6161948,27-04-2022,Cancelled,Amazon,Amazon.in,Shirt,M,Cancelled,0,,,SITAPUR,UTTAR PRADESH,261001
403-8824984-7086700,27-04-2022,Delivered,Merchant,Amazon.in,Shirt,XXL,Shipped,1,INR,517,IMPHAL,MANIPUR,795001
406-8235994-6314712,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,XL,On the Way,0,INR,1194.64,NEW DELHI,DELHI,110062
405-1441007-8460350,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,XL,On the Way,0,INR,1090.18,KOLKATA,WEST BENGAL,700154
405-7079434-3246701,27-04-2022,Shipped,Amazon,Amazon.in,Trousers,L,Shipped,1,INR,487,GHAZIABAD,UTTAR PRADESH,201016
403-1078580-4817145,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,S,Shipped,1,INR,654,RANCHI,JHARKHAND,834008
406-1613176-6151511,27-04-2022,Cancelled,Merchant,Amazon.in,T-shirt,M,On the Way,0,,,NEW DELHI,DELHI,110062
408-4276699-1267552,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,1112,NEW DELHI,DELHI,110094
405-0166258-2006744,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,L,Shipped,1,INR,801,BHOPAL,MADHYA PRADESH,462042
407-1009495-0829907,27-04-2022,Delivered,Merchant,Amazon.in,T-shirt,XL,Shipped,1,INR,824,RIICO INDUSTRIAL AREA KHUSHKHERA,RAJASTHAN,301707
403-1811684-7990714,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,3XL,Shipped,1,INR,406,FARIDABAD,HARYANA,121003
408-3604840-0370716,27-04-2022,Shipped,Amazon,Amazon.in,Blazzer,M,Shipped,1,INR,833,gurgaon,HARYANA,122018
408-2916116-4811522,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,1112,CHODAVARAM,ANDHRA PRADESH,531036
408-5975719-3295534,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,S,Shipped,1,INR,799,MUMBAI,MAHARASHTRA,400043
404-5051103-9562721,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,S,Shipped,1,INR,517,GUNTUR,ANDHRA PRADESH,522002
403-8653474-7621919,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XL,Shipped,1,INR,517,TINSUKIA,ASSAM,786125
406-1241173-0543533,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XS,Shipped,1,INR,801,Nagpur,MAHARASHTRA,441404
406-2634790-0031541,27-04-2022,Shipped,Amazon,Amazon.in,T-shirt,XXL,Shipped,1,INR,968,Liluah,WEST BENGAL,711204
405-7387101-0701964,27-04-2022,Shipped,Amazon,Amazon.in,Shirt,XS,Shipped,1,INR,399,BENGALURU,KARNATAKA,560076
